,mmsi
1794,357587000
1795,357876000
1796,353579000
1797,538090538
1798,636016262
1799,210614000
1800,574012854
1801,574000650
1802,636018046
1803,636015779
1804,506078000
1805,356077000
1806,257596000
1807,538006751
1808,212745000
1809,312468000
1810,565616000
1811,636018225
1812,563000400
1813,563091100
1814,477027100
1815,219953000
1816,352898685
1817,477406000
1818,548718000
1819,351239000
1820,219199000
1821,311033200
1822,354547000
1823,372351000
1824,414230000
1825,375821000
1826,356968000
1827,356411000
1828,357536000
1829,370922000
1830,636016679
1831,563079400
1832,506000400
1833,563114100
1834,525009349
1835,477493600
1836,636017036
1837,356369000
1838,538004370
1839,538006520
1840,574001140
1841,356667000
1842,567279000
1843,636015960
1844,538006305
1845,477280800
1846,305472000
1847,636013377
1848,372339000
1849,372241000
1850,372552000
1851,538008201
1852,373563000
1853,304834000
1854,538005903
1855,374677000
1856,538008591
1857,248442000
1858,373132000
1859,353934000
1860,636018664
1861,215657000
1862,566584000
1863,210558000
1864,229201000
1865,636092864
1866,574003240
1867,574013029
1868,352635000
1869,370734000
1870,538006480
1871,248262000
1872,538007951
1873,538004343
1874,356752000
1875,566294000
1876,574465000
1877,371801000
1878,538008293
1879,229646000
1880,371796000
1881,538006443
1882,405000131
1883,538008080
1884,371841000
1885,373617000
1886,636017169
1887,667001608
1888,574326000
1889,370469000
1890,636020797
1891,477798400
1892,255806298
1893,636020599
1894,477809500
1895,373570000
1896,564316000
1897,538007508
1898,219021000
1899,354332000
1900,373585000
1901,312026000
1902,215277000
1903,248013000
1904,271000874
1905,566999000
1906,477631900
1907,215125000
1908,574004050
1909,538007025
1910,370014000
1911,620331000
1912,372736000
1913,372434000
1914,574012698
1915,351566000
1916,563266000
1917,566959000
1918,304888000
1919,262006000
1920,538008791
1921,413220120
1922,477711400
1923,412760000
1924,564756000
1925,567004900
1926,538008087
1927,311000985
1928,525109007
1929,636019555
1930,477100800
1931,538006676
1932,636091575
1933,477548400
1934,255805588
1935,215139000
1936,567111000
1937,413492810
1938,413150000
1939,414402620
1940,210226000
1941,371956000
1942,563071800
1943,246659000
1944,305346000
1945,355224000
1946,357344000
1947,636015446
1948,636016289
1949,567000018
1950,574001210
1951,636093096
1952,538005242
1953,354401000
1954,477154500
1955,372178000
1956,567999997
1957,563110800
1958,374986000
1959,477510700
1960,255805847
1961,305682000
1962,354195000
1963,371941000
1964,538009403
1965,371555000
1966,244620052
1967,636016678
1968,373523000
1969,353726000
1970,636018220
1971,563129600
1972,538007711
1973,636020561
1974,441883000
1975,372604000
1976,636015131
1977,636019821
1978,373432000
1979,255806091
1980,374669000
1981,256308000
1982,548709000
1983,353321000
1984,371054000
1985,355712000
1986,229989000
1987,538004648
1988,209092000
1989,538007120
1990,563055800
1991,538003651
1992,352905000
1993,355399000
1994,636015637
1995,477836500
1996,538005268
1997,305121000
1998,477137400
1999,244457000
2000,354932000
2001,356815000
2002,477846300
2003,477748900
2004,636018551
2005,431260000
2006,311000733
2007,210210000
2008,477528300
2009,257774000
2010,355981000
2011,212909000
2012,538007755
2013,259741000
2014,355922000
2015,477738700
2016,563152700
2017,477440700
2018,636018251
2019,414179000
2020,636091527
2021,352882000
2022,413409620
2023,238293000
2024,373595000
2025,538005959
2026,374546000
2027,538007779
2028,355391000
2029,412274000
2030,374990000
2031,351811000
2032,563098300
2033,373393000
2034,538003904
2035,373665000
2036,636018854
2037,245020000
2038,374371000
2039,574951000
2040,232018379
2041,229720000
2042,209615000
2043,477176300
2044,477143900
2045,572917210
2046,636021229
2047,636015777
2048,374778000
2049,414246000
2050,636092574
2051,311000802
2052,372457000
2053,564220000
2054,636091487
2055,354815000
2056,249134000
2057,353564000
2058,351866000
2059,353797000
2060,563822000
2061,241573000
2062,538007769
2063,374588000
2064,563095400
2065,636018533
2066,574417000
2067,374509000
2068,351331000
2069,567001958
2070,636020109
2071,538005625
2072,413493080
2073,357254000
2074,477592600
2075,256610000
2076,636014539
2077,636015509
2078,538004911
2079,565303000
2080,219209000
2081,314482000
2082,371965000
2083,636019329
2084,374482000
2085,636014817
2086,636013119
2087,636090899
2088,351638000
2089,566908000
2090,413700170
2091,235067931
2092,538006949
2093,373103000
2094,373412000
2095,563152500
2096,677023500
2097,636093115
2098,215141000
2099,370090000
2100,357949000
2101,229266000
2102,351714000
2103,538004217
2104,477181500
2105,574294000
2106,262005000
2107,636017608
2108,373445000
2109,574000830
2110,636019537
2111,440059000
2112,240760000
2113,374342000
2114,477244600
2115,636017572
2116,354738000
2117,311000316
2118,636013349
2119,477714200
2120,548976000
2121,636020648
2122,372978000
2123,538004330
2124,477706700
2125,412347000
2126,538003252
2127,311000085
2128,353540000
2129,538008574
2130,356676000
2131,477638900
2132,241096000
2133,574002310
2134,209370000
2135,373877000
2136,538007722
2137,422035600
