Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Oct 2020)","FOB (BAHT)(Oct 2020)","Quantity (Jan - Oct 2020)","FOB (BAHT)(Jan - Oct 2020)"
2563,10,2,VN,10063030,005,KGM,"Glutinous rice 20 %  (KGM)",0,0,122010,2096204
2563,10,2,DE,10063030,006,KGM,"Glutinous rice 25 % (KGM)",1285425,24591114,1704258,39873950
2563,10,2,CY,10063030,601,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (as sample) (KGM)",0,0,8360,397529
2563,10,2,AE,10063040,001,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 %  (KGM)",69710302,2338315380,908009372,32550000313
2563,10,2,AE,10063040,004,KGM,"White non-glutinous rice of Thai Hom Mali rice 5 % (KGM)",48000,1635871,870112,26811761
2563,10,2,US,10063040,005,KGM,"White non-glutinous rice of Thai Hom Mali rice 10 % (KGM)",0,0,538674,15730562
2563,10,2,AU,10063040,006,KGM,"White non-glutinous rice of Thai Hom Mali rice 15 % (KGM)",9600,353952,157315,4244662
2563,10,2,AE,10063040,500,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 % (Organic) (KGM)",753000,37879224,11973573,586527870
2563,10,2,GB,10063040,505,KGM,"White non-glutinous rice of Thai Hom Mali rice 5 % (Organic) (KGM)",0,0,4000,251583
2563,10,2,HK,10063040,515,KGM,"White non-glutinous rice of Thai Hom Mali rice 15 % (Organic) (KGM)",0,0,14580,1312273
2563,10,2,AE,10063091,001,KGM,"Parboiled rice 100% Sortexed (KGM)",136817749,2070087650,861486835,12651259727
2563,10,2,AE,10063091,002,KGM,"Parboiled rice 100%  (KGM)",563590,9051468,13620705,214740258
2563,10,2,AE,10063091,003,KGM,"Parboiled rice 5% Sortexed (KGM)",38354200,557726291,165567013,2373524354
2563,10,2,AL,10063091,004,KGM,"Parboiled rice 5%  (KGM)",1372000,21125040,12599969,187688833
2563,10,2,SG,10063091,007,KGM,"Parboiled rice 15% (KGM)",0,0,5000,73187
2563,10,2,BJ,10063091,600,KGM,"Parboiled rice (as sample) (KGM)",959200,14950619,5210400,71528692
2563,10,2,AE,10063099,001,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (KGM)",34451774,827993237,351516579,8747459245
2563,10,2,AE,10063099,003,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 % (KGM)",205238,5762955,6887645,176724683
2563,10,2,AU,10063099,005,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 % (KGM)",30000,390006,926000,24779861
2563,10,2,AU,10063099,007,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 15 % (KGM)",333700,7934329,4082075,90662752
2563,10,2,AE,10063099,009,KGM,"Other white non-glutinous rice 100 % Grade A (KGM)",860001,13909580,1422018,23599196
2563,10,2,AE,10063099,010,KGM,"Other white non-glutinous rice 100 % Grade B (KGM)",20556252,321278876,335721729,4843200744
2563,10,2,FR,10063099,011,KGM,"Other white non-glutinous rice 100 % Grade C (KGM)",0,0,135700,2711583
2563,10,2,AE,10063099,012,KGM,"Other white non-glutinous rice 5 % (KGM)",56997012,860215136,820485750,12201273444
2563,10,2,AE,10063099,013,KGM,"Other white non-glutinous rice 10 % (KGM)",2166400,32183310,20067958,303564523
2563,10,2,AE,10063099,014,KGM,"Other white non-glutinous rice 15 %  (KGM)",1298368,22557840,13229807,226405951
2563,10,2,AE,10063099,015,KGM,"White non-glutinous rice of Japonica rice (as sample) (KGM)",28270,1033650,494434,16626977
2563,10,2,AE,10063099,018,KGM,"White non-glutinous rice 25 % (KGM)",19000,529799,3145879,49357029
2563,10,2,ZA,10063099,022,KGM,"White non-glutinous rice 45 % (KGM)",200000,2757434,1250000,17489095
2563,10,2,GE,10063099,023,KGM,"White non-glutinous rice, vitamin coated (as sample) (KGM)",556000,10173628,8357250,161012522
2563,10,2,AU,10063099,090,KGM,"Other (KGM)",7517,1811718,45862,10696974
2563,10,2,AU,10063099,502,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",34578,1827477,219086,10842064
2563,10,2,AU,10063099,600,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning  (as sample) (KGM)",347530,9486527,17724666,403959023
2563,10,2,AU,10063099,601,KGM,"Non-glutinous rice, semi-milled or wholly milled, n.e.s  (as sample) (KGM)",2722495,44809748,288590848,4010009817
2563,10,2,AU,10063099,602,KGM,"Non-glutinous rice, semi-milled or wholly milled, n.e.s  (as sample) (Organic) (KGM)",0,0,280300,12806514
2563,10,2,AU,10063099,603,KGM,"Special mixed rice, semi-milled or wholly milled, n.e.s  (as sample) (KGM)",38360,1710994,396017,19342978
2563,10,2,HK,10064010,000,KGM,"Of a kind used for animal feed (KGM)",0,0,129,24398
2563,10,2,GB,10064090,001,KGM,"Husked rice (cargo rice), broken (as sample) (KGM)",20000,415164,60000,1185871
2563,10,2,AE,10064090,003,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Extra Super (KGM)",522539,10892036,10105305,216361266
2563,10,2,CA,10064090,004,KGM,"Other broken non-glutinous rice A1 Extra Super (KGM)",85993,1495444,1170370,17985626
2563,10,2,AE,10064090,005,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Super (KGM)",13869611,199507223,189049200,2789845212
2563,10,2,AE,10064090,006,KGM,"Other broken non-glutinous rice A1 Super (KGM)",11757051,150148621,53427615,665796205
2563,10,2,BJ,10064090,010,KGM,"Broken non-glutinous rice of Thai Fragant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning A1 Extra Super  (KGM)",97336,1815710,867520,15354741
2563,10,2,BJ,10064090,012,KGM,"Broken non-glutinous rice of Thai Fragant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning A1 Super  (KGM)",1620700,23866184,109892652,1518030212
2563,10,2,NZ,10064090,018,KGM,"Broken rice parboiled A1 (KGM)",0,0,69000,1134730
2563,10,2,BE,10064090,019,KGM,"Broken glutinous rice A1 (KGM)",12888080,297290392,86477710,2342511732
2563,10,2,BE,10064090,501,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Super (Organic) (KGM)",0,0,492000,12369731
2563,10,2,FR,10064090,600,KGM,"Broken non-glutinous rice, n.e.s (as sample) (KGM)",1400000,20962317,15976540,247584740
2563,10,2,CN,10064090,602,KGM,"Broken glutinous rice, n.e.s (as sample) (KGM)",1850000,35358664,16624000,313201826
2563,10,2,CA,10064090,603,KGM,"Broken non-glutinous rice of Thai Fragant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",0,0,1,31
2563,10,2,SG,10064090,604,KGM,"Broken husked rice (cargo rice), n.e.s (as sample) (KGM)",0,0,5000,141892
2563,10,2,US,10064090,605,KGM,"Broken non-glutinous rice, n.e.s (as sample) (Organic) (KGM)",0,0,57000,1707837
2563,10,2,CN,10064090,606,KGM,"Broken rice parboiled, n.e.s. (as sample) (Organic) (KGM)",0,0,500000,5833657
2563,10,2,US,10064090,609,KGM,"Broken husked rice (cargo rice), n.e.s (as sample) (Organic) (KGM)",0,0,95000,1925345
